Lat,Lon,Location,MPA_Start,Quarter,CA_MPA_Name_Short,Site,type,ChannelIsland
33.7392,-118.3857,ML,2012,121,Abalone Cove SMCA,Abalone Cove SMCA,SMCA,NA
34.00288,-119.4252,C,2003,85,Anacapa Island SMCA,Anacapa Island SMCA,SMCA,Anacapa
34.008,-119.3983,C,2003,85,Anacapa Island SMR 2003,Anacapa Island SMR 2003,SMR,Anacapa
34.008,-119.3983,C,1978,0,Anacapa Island SMR 1978,Anacapa Island SMR 1978,SMR,Anacapa
33.4649,-118.5221,C,2003,85,Arrow Point to Lion Head Point SMCA,Arrow Point to Lion Head Point SMCA,SMCA,Catalina
33.22,-119.5078,C,2003,85,Begg Rock SMR,Begg Rock SMR,SMR,San Nicolas
33.4466,-118.4764,C,2012,121,Blue Cavern Onshore SMCA,Blue Cavern Onshore SMCA,SMCA,Catalina
32.6628,-117.2464,ML,2012,121,Cabrillo SMR,Cabrillo SMR,SMR,NA
34.4049,-119.8651,ML,2012,121,Campus Point SMCA,Campus Point SMCA,SMCA,NA
33.42609,-118.5118,C,2012,121,Cat Harbor SMCA,Cat Harbor SMCA,SMCA,Catalina
33.5753,-117.8511,ML,2012,121,Crystal Cove SMCA,Crystal Cove SMCA,SMCA,NA
33.4687,-117.7251,ML,2012,121,Dana Point SMCA,Dana Point SMCA,SMCA,NA
33.3339,-118.473,C,2012,121,Farnsworth Onshore SMCA,Farnsworth Onshore SMCA,SMCA,Catalina
33.9562,-119.8234,C,2003,85,Gull Island SMR,Gull Island SMR,SMR,Santa Cruz
34.053,-120.3424,C,2003,85,Harris Point SMR,Harris Point SMR,SMR,San Miguel
34.0254,-120.4363,C,2003,85,Judith Rk SMR,Judith Rock SMR,SMR,San Miguel
33.5356,-117.7858,ML,2012,121,Laguna Beach SMR,Laguna Beach SMR,SMR,NA
33.24,-118.21,C,2012,121,Long Point SMR,Long Point SMR,SMR,Catalina
32.85167,-117.2783,ML,2012,121,Matlahuayl SMR,Matlahuayl SMR,SMR,NA
34.4321,-119.9514,ML,2012,121,Naples SMCA,Naples SMCA,SMCA,NA
34.05658,-119.8212,C,2003,85,Painted Cave SMCA,Painted Cave SMCA,SMCA,Santa Cruz
34.447,-120.4308,ML,2012,121,Point Conception SMR,Point Conception SMR,SMR,NA
34.0344,-118.872,ML,2012,121,Point Dume SMCA,Point Dume SMCA,SMCA,NA
34.0079,-118.7917,ML,2012,121,Point Dume SMR,Point Dume SMR,SMR,NA
33.7403,-118.4087,ML,2012,121,Point Vicente SMCA,Point Vicente SMCA,SMCA,NA
34.0301,-120.443,C,2003,85,San Miguel Island SC,San Miguel Island Special Closure,SMR,San Miguel
33.4658,-119.0306,C,2003,85,Santa Barbara Island SMR,Santa Barbara Island SMR,SMR,Santa Barbara
34.05428,-119.5669,C,2003,85,Scorpion SMR,Scorpion SMR,SMR,Santa Cruz
33.9588,-119.9733,C,2003,85,Skunk Pt SMR,Skunk Point SMR,SMR,Santa Rosa
32.8121,-117.288,ML,2012,121,South La Jolla SMR,South La Jolla SMR,SMR,NA
33.9022,-120.1391,C,2003,85,South Point SMR,South Point SMR,SMR,Santa Rosa
33.0212,-117.2936,ML,2012,121,Swamis SMCA,Swamis SMCA,SMCA,NA
33.333461,-118.30025,C,2003,85,Lover's Cove SMCA,Lover's Cove SMCA,SMCA,Catalina
34.027,-120.0473,C,2003,85,Carrington Pt SMR,Carrington Pt SMR,SMR,
